lei;name;marketingName;website;accreditationDate
029200067A7K6CH0H586;Central Securities Clearing System PLC;Central Securities Clearing System plc of Nigeria;https://lei.cscs.ng/cscslei/cscs-lei.php;2018-01-30T00:00:00+00:00
097900BEFH0000000217;Centrálny depozitár cenných papierov SR;CSD Slovakia;https://www.cdcp.sk/en/lei/;2018-01-30T00:00:00+00:00
213800WAVVOPS85N2205;London Stock Exchange LEI Limited;London Stock Exchange;https://www.lseg.com/LEI;2017-11-06T00:00:00+00:00
253400M18U5TB02TW421;"Небанковская кредитная организация акционерное общество ""Национальный расчетный депозитарий";National Settlement Depository, Russia;https://www.lei-code.ru;2018-01-05T00:00:00+00:00
254900LXHEVKYGERER05;Depozitarul Central SA;Depozitarul Central, Romania;https://lei.roclear.ro/;2018-12-06T00:00:00+00:00
254900PMALKJRL1YGQ18;Qatar Central Bank;Qatar Credit Bureau;https://www.cb.gov.qa/lei/;2019-07-26T00:00:00+00:00
259400L3KBYEVNHEJF55;Krajowy Depozyt Papierów Wartościowych S.A.;KDPW;https://lei.kdpw.pl/;2016-12-21T00:00:00+00:00
315700LK78Z7C0WMIL03;Centrální Depozitář Cenných Papírů, a.s.;CSD Prague;https://www.cdcp.cz/index.php/en/lei-pre-lei-legal-entity-identifier;2017-12-01T00:00:00+00:00
335800FVH4MOKZS9VH40;Legal Entity Identifier India Limited;LEIL;https://www.ccilindia-lei.co.in/;2016-12-21T00:00:00+00:00
353800279ADEFGKNTV65;株式会社東京証券取引所;Japan Exchange Group/ Tokyo Stock Exchange (JPX/TSE);https://www.jpx.co.jp/lei/en/index.html;2017-07-21T00:00:00+00:00
378900F4A0A690EA6735;Strate (Pty) Ltd;Strate;https://www.lei-strate.co.za/;2018-01-30T00:00:00+00:00
39120001KULK7200U106;Bundesanzeiger Verlag GmbH;Bundesanzeiger Verlag;https://www.leireg.de/de/;2017-02-22T00:00:00+00:00
4117IB8J63IUO2SES575;Tunisie Clearing;Tunisie Clearing;http://lei.tunisieclearing.com;2020-12-02T00:00:00+00:00
4469000001AVO26P9X86;ASOCIACION MEXICANA DE ESTANDARES PARA EL COMERCIO ELECTRONICO AC;GS1 Mexico;https://lei.gs1mexico.org;2016-12-21T00:00:00+00:00
485100001PLJJ09NZT59;Nasdaq CSD SE;Nasdaq LEI;https://www.nasdaqlei.com;2020-08-14T00:00:00+00:00
